"MSSubClass_20","MSSubClass_50","MSSubClass_60","MSSubClass_120","MSZoning_RL","MSZoning_RM","LotFrontage","LotArea","Alley_None","LotShape_IR1","LotShape_Reg","LandContour_Lvl","LotConfig_Corner","LotConfig_CulDSac","LotConfig_Inside","Neighborhood_CollgCr","Neighborhood_Edwards","Neighborhood_Gilbert","Neighborhood_NAmes","Neighborhood_NridgHt","Neighborhood_OldTown","Neighborhood_Sawyer","Neighborhood_Somerst","Condition1_Feedr","Condition1_Norm","BldgType_1Fam","BldgType_TwnhsE","HouseStyle_1.5Fin","HouseStyle_1Story","HouseStyle_2Story","OverallQual","OverallCond","YearRemodAdd_1950","YearRemodAdd_2006","YearRemodAdd_2007","RoofStyle_Gable","RoofStyle_Hip","Exterior1st_HdBoard","Exterior1st_MetalSd","Exterior1st_Plywood","Exterior1st_VinylSd","Exterior1st_Wd.Sdng","Exterior2nd_HdBoard","Exterior2nd_MetalSd","Exterior2nd_Plywood","Exterior2nd_VinylSd","Exterior2nd_Wd.Sdng","MasVnrType_BrkFace","MasVnrType_None","MasVnrType_Stone","MasVnrArea","ExterQual.L","ExterQual.Q","ExterQual.C","ExterQual.4","ExterCond.L","ExterCond.Q","ExterCond.C","ExterCond.4","Foundation_BrkTil","Foundation_CBlock","Foundation_PConc","BsmtQual.L","BsmtQual.Q","BsmtQual.C","BsmtQual.4","BsmtQual.5","BsmtExposure.L","BsmtExposure.Q","BsmtExposure.C","BsmtExposure.4","BsmtFinType1.L","BsmtFinType1.Q","BsmtFinType1.C","BsmtFinType1.4","BsmtFinType1.5","BsmtFinType1.6","BsmtFinSF1","BsmtFinType2.C","BsmtUnfSF","TotalBsmtSF","HeatingQC.L","HeatingQC.Q","HeatingQC.C","HeatingQC.4","CentralAir_N","CentralAir_Y","Electrical_FuseA","Electrical_SBrkr","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual.L","KitchenQual.Q","KitchenQual.C","KitchenQual.4","KitchenQual.5","TotRmsAbvGrd","Fireplaces","FireplaceQu.L","FireplaceQu.Q","FireplaceQu.C","FireplaceQu.4","FireplaceQu.5","GarageType_Attchd","GarageType_BuiltIn","GarageType_Detchd","GarageType_None","GarageYrBltNone","GarageFinish.L","GarageFinish.Q","GarageFinish.C","GarageCars","GarageArea","GarageQual.L","GarageQual.Q","GarageQual.C","GarageQual.4","GarageQual.5","GarageCond.L","GarageCond.Q","GarageCond.C","GarageCond.4","GarageCond.5","PavedDrive_N","PavedDrive_Y","WoodDeckSF","Fence.L","Fence.Q","Fence.C","Fence.4","MoSold_3","MoSold_4","MoSold_5","MoSold_6","MoSold_7","MoSold_8","MoSold_9","MoSold_10","YrSold_2006","YrSold_2007","YrSold_2008","YrSold_2009","YrSold_2010","SaleType_New","SaleType_WD","SaleCondition_Abnorml","SaleCondition_Normal","SaleCondition_Partial","TotalSF"
0,0,1,0,1,0,4.17438726989564,9.04192172035122,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,7,5,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,196,0.316227766016838,-0.267261241912425,-0.632455532033675,-0.478091443733758,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,0,0,1,0.358568582800318,-0.109108945117996,-0.521749194749951,-0.566946709513841,-0.314970394174356,-0.316227766016838,-0.267261241912424,0.632455532033676,-0.478091443733757,0.566946709513841,0.545544725589981,0.408248290463863,0.241746889207614,0.109108945117996,0.0328975847479885,706,0.408248290463863,150,856,0.632455532033676,0.534522483824849,0.316227766016838,0.119522860933439,0,1,0,1,856,854,7.44424864949671,1,0,2,1,3,0.358568582800318,-0.109108945117996,-0.521749194749951,-0.566946709513841,-0.314970394174356,8,0,-0.597614304667197,0.545544725589981,-0.372677996249965,0.188982236504614,-0.0629940788348712,1,0,0,0,0,0.223606797749979,-0.5,-0.670820393249937,2,548,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,0,1,0,-0.632455532033676,0.534522483824849,-0.316227766016838,0.119522860933439,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2416
1,0,0,0,1,0,4.38202663467388,9.16951837745593,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,6,8,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,0,1,0,0.358568582800318,-0.109108945117996,-0.521749194749951,-0.566946709513841,-0.314970394174356,0.632455532033676,0.534522483824849,0.316227766016838,0.119522860933439,0.377964473009227,0,-0.408248290463863,-0.564076074817766,-0.436435780471984,-0.197385508487931,978,0.408248290463863,284,1262,0.632455532033676,0.534522483824849,0.316227766016838,0.119522860933439,0,1,0,1,1262,0,7.14045304310116,0,1,2,0,3,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,6,1,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,1,0,0,0,0,0.223606797749979,-0.5,-0.670820393249937,2,460,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,0,1,298,-0.632455532033676,0.534522483824849,-0.316227766016838,0.119522860933439,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2240
0,0,1,0,1,0,4.21950770517611,9.32812340763257,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,7,5,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,162,0.316227766016838,-0.267261241912425,-0.632455532033675,-0.478091443733758,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,0,0,1,0.358568582800318,-0.109108945117996,-0.521749194749951,-0.566946709513841,-0.314970394174356,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,0.566946709513841,0.545544725589981,0.408248290463863,0.241746889207614,0.109108945117996,0.0328975847479885,486,0.408248290463863,434,920,0.632455532033676,0.534522483824849,0.316227766016838,0.119522860933439,0,1,0,1,920,866,7.48773376143644,1,0,2,1,3,0.358568582800318,-0.109108945117996,-0.521749194749951,-0.566946709513841,-0.314970394174356,6,1,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,1,0,0,0,0,0.223606797749979,-0.5,-0.670820393249937,2,608,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,0,1,0,-0.632455532033676,0.534522483824849,-0.316227766016838,0.119522860933439,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,2272
0,0,0,0,1,0,4.0943445622221,9.16429643347478,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,7,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,1,0,0,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,-0.316227766016838,-0.267261241912424,0.632455532033676,-0.478091443733757,0.377964473009227,0,-0.408248290463863,-0.564076074817766,-0.436435780471984,-0.197385508487931,216,0.408248290463863,540,756,0.316227766016838,-0.267261241912425,-0.632455532033675,-0.478091443733758,0,1,0,1,961,756,7.44833386089748,1,0,1,0,3,0.358568582800318,-0.109108945117996,-0.521749194749951,-0.566946709513841,-0.314970394174356,7,1,0.358568582800318,-0.109108945117996,-0.521749194749951,-0.566946709513841,-0.314970394174356,0,0,1,0,0,-0.223606797749979,-0.5,0.670820393249937,3,642,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,0,1,0,-0.632455532033676,0.534522483824849,-0.316227766016838,0.119522860933439,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1933
0,0,1,0,1,0,4.43081679884331,9.56521369396829,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,8,5,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,350,0.316227766016838,-0.267261241912425,-0.632455532033675,-0.478091443733758,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,0,0,1,0.358568582800318,-0.109108945117996,-0.521749194749951,-0.566946709513841,-0.314970394174356,0.316227766016838,-0.267261241912425,-0.632455532033675,-0.478091443733758,0.566946709513841,0.545544725589981,0.408248290463863,0.241746889207614,0.109108945117996,0.0328975847479885,655,0.408248290463863,490,1145,0.632455532033676,0.534522483824849,0.316227766016838,0.119522860933439,0,1,0,1,1145,1053,7.69530313496357,1,0,2,1,4,0.358568582800318,-0.109108945117996,-0.521749194749951,-0.566946709513841,-0.314970394174356,9,1,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,1,0,0,0,0,0.223606797749979,-0.5,-0.670820393249937,3,836,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,0,1,192,-0.632455532033676,0.534522483824849,-0.316227766016838,0.119522860933439,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2853
0,1,0,0,1,0,4.44265125649032,9.55499334068759,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,5,5,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,0,0,0,0.358568582800318,-0.109108945117996,-0.521749194749951,-0.566946709513841,-0.314970394174356,-0.316227766016838,-0.267261241912424,0.632455532033676,-0.478091443733757,0.566946709513841,0.545544725589981,0.408248290463863,0.241746889207614,0.109108945117996,0.0328975847479885,732,0.408248290463863,64,796,0.632455532033676,0.534522483824849,0.316227766016838,0.119522860933439,0,1,0,1,796,566,7.21670948670946,1,0,1,1,1,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,5,0,-0.597614304667197,0.545544725589981,-0.372677996249965,0.188982236504614,-0.0629940788348712,1,0,0,0,0,-0.223606797749979,-0.5,0.670820393249937,2,480,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,0,1,40,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,2094
1,0,0,0,1,0,4.31748811353631,9.21870528830781,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,8,5,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,186,0.316227766016838,-0.267261241912425,-0.632455532033675,-0.478091443733758,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,0,0,1,0.597614304667197,0.545544725589981,0.372677996249965,0.188982236504614,0.0629940788348712,0.316227766016838,-0.267261241912425,-0.632455532033675,-0.478091443733758,0.566946709513841,0.545544725589981,0.408248290463863,0.241746889207614,0.109108945117996,0.0328975847479885,1369,0.408248290463863,317,1686,0.632455532033676,0.534522483824849,0.316227766016838,0.119522860933439,0,1,0,1,1694,0,7.434847875212,1,0,2,0,3,0.358568582800318,-0.109108945117996,-0.521749194749951,-0.566946709513841,-0.314970394174356,7,1,0.358568582800318,-0.109108945117996,-0.521749194749951,-0.566946709513841,-0.314970394174356,1,0,0,0,0,0.223606797749979,-0.5,-0.670820393249937,2,636,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,0,1,255,-0.632455532033676,0.534522483824849,-0.316227766016838,0.119522860933439,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,3063
0,0,1,0,1,0,4.7361984483945,9.24782881638717,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,6,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,240,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,0,1,0,0.358568582800318,-0.109108945117996,-0.521749194749951,-0.566946709513841,-0.314970394174356,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,0.377964473009227,0,-0.408248290463863,-0.564076074817766,-0.436435780471984,-0.197385508487931,859,-0.408248290463863,216,1107,0.632455532033676,0.534522483824849,0.316227766016838,0.119522860933439,0,1,0,1,1107,983,7.64491934495886,1,0,2,1,3,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,7,2,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,1,0,0,0,0,0.223606797749979,-0.5,-0.670820393249937,2,484,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,0,1,235,-0.632455532033676,0.534522483824849,-0.316227766016838,0.119522860933439,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2981
0,1,0,0,0,1,3.93182563272433,8.71931737550637,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,7,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,1,0,0,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,-0.316227766016838,-0.267261241912424,0.632455532033676,-0.478091443733757,-0.377964473009227,9.69082104500496e-17,0.408248290463863,-0.564076074817766,0.436435780471985,-0.197385508487931,0,0.408248290463863,952,952,0.316227766016838,-0.267261241912425,-0.632455532033675,-0.478091443733758,0,1,0,0,1022,752,7.48099216286952,0,0,2,0,2,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,8,2,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,0,0,1,0,0,-0.223606797749979,-0.5,0.670820393249937,2,468,-0.119522860933439,-0.436435780471985,0.298142396999972,0.377964473009227,-0.629940788348712,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,0,1,90,-0.632455532033676,0.534522483824849,-0.316227766016838,0.119522860933439,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1774
0,0,0,0,1,0,3.91202300542815,8.91193433616143,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,0,-0.534522483824849,-4.09597238000615e-16,0.717137165600636,1,0,0,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,-0.316227766016838,-0.267261241912424,0.632455532033676,-0.478091443733757,0.566946709513841,0.545544725589981,0.408248290463863,0.241746889207614,0.109108945117996,0.0328975847479885,851,0.408248290463863,140,991,0.632455532033676,0.534522483824849,0.316227766016838,0.119522860933439,0,1,0,1,1077,0,6.98193467715639,1,0,1,0,2,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,5,2,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,1,0,0,0,0,0.223606797749979,-0.5,-0.670820393249937,1,205,0.358568582800318,-0.109108945117996,-0.521749194749951,-0.566946709513841,-0.314970394174356,0.119522860933439,-0.436435780471985,-0.298142396999972,0.377964473009227,0.629940788348712,0,1,0,-0.632455532033676,0.534522483824849,-0.316227766016838,0.119522860933439,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1928
